session,role,group,offset_ms,mean_displacement_m,mean_abs_label_diff_m,pct_of_mean_displacement,n_labels,note
S-Vta2,train,Vta,-250,10.101104336489684,0.12869794680048674,1.2740977868684367,10949,
S-Vta2,train,Vta,500,10.101104336489684,0.30393369575862994,3.0089155168973574,10946,
S-Vta2,train,Vta,-500,10.101104336489684,0.30393369575862994,3.0089155168973574,10946,
S-Vta2,train,Vta,1000,10.101104336489684,0.5511751521848747,5.456583100461449,10941,
S-Vta2,train,Vta,-1000,10.101104336489684,0.5511751521848747,5.456583100461449,10941,
S-Vtb1,train,Vtb,0,12.435093170269386,0.0,0.0,32373,
S-Vtb1,train,Vtb,100,12.435093170269386,0.05956794241254551,0.47903092961912297,32372,
S-Vtb1,train,Vtb,-100,12.435093170269386,0.05956794241254551,0.47903092961912297,32372,
S-Vtb1,train,Vtb,250,12.435093170269386,0.1191395651518413,0.9580914555323782,32371,
S-Vtb1,train,Vtb,-250,12.435093170269386,0.1191395651518413,0.9580914555323782,32371,
S-Vtb1,train,Vtb,500,12.435093170269386,0.2978765187461806,2.395450638507179,32368,
S-Vtb1,train,Vtb,-500,12.435093170269386,0.2978765187461806,2.395450638507179,32368,
S-Vtb1,train,Vtb,1000,12.435093170269386,0.5786185842974622,4.653110164714008,32363,
S-Vtb1,train,Vtb,-1000,12.435093170269386,0.5786185842974622,4.653110164714008,32363,
S-Vtb2,train,Vtb,0,7.599116070249168,0.0,0.0,5619,
S-Vtb2,train,Vtb,100,7.599116070249168,0.020335474684553267,0.26760315932227213,5618,
S-Vtb2,train,Vtb,-100,7.599116070249168,0.020335474684553267,0.26760315932227213,5618,
S-Vtb2,train,Vtb,250,7.599116070249168,0.04067819005779234,0.5353016019461662,5617,
S-Vtb2,train,Vtb,-250,7.599116070249168,0.04067819005779234,0.5353016019461662,5617,
S-Vtb2,train,Vtb,500,7.599116070249168,0.1017498190034929,1.3389691388166496,5614,
S-Vtb2,train,Vtb,-500,7.599116070249168,0.1017498190034929,1.3389691388166496,5614,
S-Vtb2,train,Vtb,1000,7.599116070249168,0.20368104256922903,2.6803254574127138,5609,
S-Vtb2,train,Vtb,-1000,7.599116070249168,0.20368104256922903,2.6803254574127138,5609,
S-Vw2,train,Vw,0,18.663044041353736,0.0,0.0,52652,
S-Vw2,train,Vw,100,18.663044041353736,0.01963212728572761,0.105192525089833,52651,
S-Vw2,train,Vw,-100,18.663044041353736,0.01963212728572761,0.105192525089833,52651,
S-Vw2,train,Vw,250,18.663044041353736,0.03926500032912835,0.21038904608554007,52650,
S-Vw2,train,Vw,-250,18.663044041353736,0.03926500032912835,0.21038904608554007,52650,
S-Vw2,train,Vw,500,18.663044041353736,0.09816809444304586,0.5260025868530565,52647,
S-Vw2,train,Vw,-500,18.663044041353736,0.09816809444304586,0.5260025868530565,52647,
S-Vw2,train,Vw,1000,18.663044041353736,0.19635483713049515,1.0521050944069488,52642,
S-Vw2,train,Vw,-1000,18.663044041353736,0.19635483713049515,1.0521050944069488,52642,
S-Vw3,train,Vw,0,13.210806784692059,0.0,0.0,3651,
S-Vw3,train,Vw,100,13.210806784692059,0.03803630689485636,0.28791812275182693,3650,
S-Vw3,train,Vw,-100,13.210806784692059,0.03803630689485636,0.28791812275182693,3650,
S-Vw3,train,Vw,250,13.210806784692059,0.07609346131326303,0.5759940520925327,3649,
S-Vw3,train,Vw,-250,13.210806784692059,0.07609346131326303,0.5759940520925327,3649,
S-Vw3,train,Vw,500,13.210806784692059,0.19039018124781937,1.4411699781154381,3646,
S-Vw3,train,Vw,-500,13.210806784692059,0.19039018124781937,1.4411699781154381,3646,
S-Vw3,train,Vw,1000,13.210806784692059,0.38130326878846854,2.886298127002367,3641,
S-Vw3,train,Vw,-1000,13.210806784692059,0.38130326878846854,2.886298127002367,3641,
S-Vw11,train,Vw,0,11.643760206736284,0.0,0.0,4815,
S-Vw11,train,Vw,100,11.643760206736284,0.03603141501826672,0.3094482742561239,4814,
S-Vw11,train,Vw,-100,11.643760206736284,0.03603141501826672,0.3094482742561239,4814,
S-Vw11,train,Vw,250,11.643760206736284,0.07207780257541645,0.6190251370319114,4813,
S-Vw11,train,Vw,-250,11.643760206736284,0.07207780257541645,0.6190251370319114,4813,
S-Vw11,train,Vw,500,11.643760206736284,0.18030689386442605,1.5485280584884669,4810,
S-Vw11,train,Vw,-500,11.643760206736284,0.18030689386442605,1.5485280584884669,4810,
S-Vw11,train,Vw,1000,11.643760206736284,0.36098903620717876,3.1002788600742157,4805,
S-Vw11,train,Vw,-1000,11.643760206736284,0.36098903620717876,3.1002788600742157,4805,
