role,session,predictor,duration_s,crse,cae,bucket
test,S-A5,constant_velocity_dr,10.0,17.860588508936846,-17.2595266661154,>25
test,S-A5,constant_velocity_dr,10.0,24.790574373463873,23.00938112665004,>25
test,S-A5,constant_velocity_dr,10.0,31.377096714153346,31.160606423475752,>25
test,S-A5,constant_velocity_dr,10.0,9.537956282894505,8.161019240063233,>25
test,S-A5,constant_velocity_dr,10.0,4.007037046869968,-3.77883210461615,>25
test,S-A5,constant_velocity_dr,10.0,6.370973010585873,5.802118277804286,>25
test,S-A5,constant_velocity_dr,10.0,12.597161788484815,4.828074060902104,>25
test,S-A5,constant_velocity_dr,10.0,26.99020087748843,-16.33610815517516,>25
test,S-A5,constant_velocity_dr,10.0,28.43706923227674,-3.184446007473909,>25
test,S-A5,constant_velocity_dr,10.0,8.475817134335482,0.23127696561236277,>25
test,S-A5,constant_velocity_dr,10.0,14.529647868444128,7.568691410817028,>25
test,S-A5,constant_velocity_dr,10.0,9.738836108038218,2.097265809650576,>25
test,S-A5,constant_velocity_dr,10.0,17.920907801043448,7.989234906126825,15-25
test,S-A5,constant_velocity_dr,10.0,13.118275654506576,-13.279729773031239,>25
test,S-A5,constant_velocity_dr,10.0,17.98224927914455,14.441870411532971,15-25
test,S-A5,constant_velocity_dr,10.0,34.030162103183066,-31.457007677549512,>25
test,S-A5,constant_velocity_dr,10.0,11.812146290642243,10.933911507089277,>25
test,S-A5,constant_velocity_dr,10.0,5.933973753188035,4.516191807508026,>25
test,S-A5,constant_velocity_dr,10.0,21.014218771738925,-9.536221375131014,>25
test,S-A5,constant_velocity_dr,10.0,24.10246242867186,-7.488915368033982,>25
test,S-A5,constant_velocity_dr,10.0,27.068218574486785,6.669943325073362,>25
test,S-A5,constant_velocity_dr,10.0,1.5408476909060467,-1.8956880108764906,>25
test,S-A5,constant_velocity_dr,10.0,10.460908220953197,8.947486019761527,>25
test,S-A5,constant_velocity_dr,10.0,34.44029219106461,4.382443684331733,>25
test,S-A5,constant_velocity_dr,10.0,14.992470079389303,9.827788068977789,15-25
test,S-A5,constant_velocity_dr,10.0,56.57431687069835,55.68557795249058,15-25
test,S-A5,constant_velocity_dr,10.0,35.10473636243507,34.70696846665803,5-15
test,S-A5,constant_velocity_dr,10.0,51.92132314726185,47.553562650501505,0-5
test,S-A5,constant_velocity_dr,10.0,21.677325736130197,-22.26211162006308,5-15
test,S-A5,constant_velocity_dr,10.0,4.087074424262696,-3.4683786515773605,5-15
test,S-A5,constant_velocity_dr,10.0,4.466488471845514,0.36400620141589535,5-15
test,S-A5,constant_velocity_dr,10.0,6.760012873833297,-5.747714655921715,5-15
test,S-A5,constant_velocity_dr,10.0,3.8466060204177457,0.5227171122341758,5-15
test,S-A5,constant_velocity_dr,10.0,11.380102235926131,-10.74497985177217,15-25
test,S-A5,constant_velocity_dr,10.0,2.140892499296575,-1.4620332869299775,15-25
test,S-A5,constant_velocity_dr,10.0,14.694872617217092,-14.64030696849943,15-25
test,S-A5,constant_velocity_dr,10.0,13.246754734430553,-13.100545957765519,15-25
test,S-A5,constant_velocity_dr,10.0,16.446193997560407,-16.28871454133001,15-25
test,S-A5,constant_velocity_dr,10.0,12.159597452030063,-6.60924760340108,15-25
test,S-A5,constant_velocity_dr,10.0,3.3670077961778104,-4.071185509345245,>25
test,S-A5,constant_velocity_dr,10.0,15.83725015125431,-4.058158099887972,>25
test,S-A5,constant_velocity_dr,10.0,23.973730179260272,23.637401622458107,15-25
test,S-A5,constant_velocity_dr,10.0,70.61449437476004,-66.16602611511068,>25
test,S-A5,constant_velocity_dr,10.0,19.164766134133963,2.0261113222720937,>25
test,S-A5,constant_velocity_dr,10.0,14.599970226780869,-0.37509533995719124,>25
test,S-A5,constant_velocity_dr,10.0,23.77524522517112,-1.4574564573637119,>25
test,S-A5,constant_velocity_dr,10.0,21.949218027739974,10.960026759042819,>25
test,S-A5,constant_velocity_dr,10.0,4.884933946538548,-5.282938886539245,>25
test,S-A5,constant_velocity_dr,10.0,18.28643820004277,-11.88423815002124,>25
test,S-A5,constant_velocity_dr,10.0,18.542830891628782,-7.676306655525227,>25
test,S-A5,constant_velocity_dr,10.0,7.051686664131356,6.323001713716373,>25
test,S-A5,constant_velocity_dr,10.0,7.0178353390561625,-7.05563904215224,>25
test,S-A5,constant_velocity_dr,10.0,5.157576140646527,4.494339218439521,>25
test,S-A5,constant_velocity_dr,10.0,3.5722462779065296,-3.3423398066385595,>25
test,S-A5,constant_velocity_dr,10.0,6.68863348098087,-5.946372638177326,>25
test,S-A5,constant_velocity_dr,10.0,6.969503578876578,6.862091865396579,>25
test,S-A5,constant_velocity_dr,10.0,4.538219324963664,-3.6916669738177355,>25
test,S-A5,constant_velocity_dr,10.0,13.44030341064844,-4.972675912860538,>25
test,S-A5,constant_velocity_dr,10.0,18.55998708766785,9.085202331195799,>25
test,S-A5,constant_velocity_dr,10.0,16.469078807031966,12.712911532591828,>25
test,S-A5,constant_velocity_dr,10.0,11.910604288410253,11.292943981595531,15-25
test,S-A5,constant_velocity_dr,10.0,22.094233497287675,21.989034815262244,15-25
test,S-A5,constant_velocity_dr,10.0,46.63020037413761,46.492135903237795,5-15
test,S-A5,constant_velocity_dr,10.0,56.14823617644158,55.50654271816547,5-15
test,S-A5,constant_velocity_dr,10.0,11.633453254021111,11.459460584450714,5-15
test,S-A5,constant_velocity_dr,10.0,2.1890858377520943,-2.373796150948853,5-15
test,S-A5,constant_velocity_dr,10.0,3.918616492496806,3.6880517684908334,5-15
test,S-A5,constant_velocity_dr,10.0,6.3417893087425075,5.9118805085835175,0-5
test,S-A5,constant_velocity_dr,10.0,10.962439532802632,-11.433656740732491,5-15
test,S-A5,constant_velocity_dr,10.0,2.3231039855947877,-0.8209534992414804,5-15
test,S-A5,constant_velocity_dr,10.0,4.6712613972681485,-4.683242787896207,5-15
test,S-A5,constant_velocity_dr,10.0,10.781239539036083,10.048160183568825,5-15
test,S-A5,constant_velocity_dr,10.0,2.8913429314456853,-2.5763450508012875,5-15
test,S-A5,constant_velocity_dr,10.0,5.960703644631145,-5.729650920344309,5-15
test,S-A5,constant_velocity_dr,10.0,15.562773081381067,15.273049876581425,0-5
test,S-A5,constant_velocity_dr,10.0,4.811544425164855,4.4267755771680655,0-5
test,S-A5,constant_velocity_dr,10.0,2.663986030354533,1.2226634985388944,5-15
test,S-A5,constant_velocity_dr,10.0,17.50195344906933,-17.457289914002388,5-15
test,S-A5,constant_velocity_dr,10.0,3.8762397605193497,0.2799058763986295,5-15
test,S-A5,constant_velocity_dr,10.0,16.38736542218961,-15.687841632788938,15-25
test,S-A5,constant_velocity_dr,10.0,28.21538254287844,28.169516512380195,5-15
test,S-A5,constant_velocity_dr,10.0,11.957939798365826,-11.94047141386611,15-25
test,S-A5,constant_velocity_dr,10.0,2.3431115975193935,-1.8697325215647957,15-25
test,S-A5,constant_velocity_dr,10.0,2.2998377072498437,-2.3658836001879315,15-25
test,S-A5,constant_velocity_dr,10.0,9.087443146261633,-2.769591423767732,15-25
test,S-A5,constant_velocity_dr,10.0,11.76931806111711,-0.8637769412248026,15-25
test,S-A5,constant_velocity_dr,10.0,30.13380710581015,29.46721781099434,15-25
test,S-A5,constant_velocity_dr,10.0,22.970087376800418,21.388192451031713,5-15
test,S-A5,constant_velocity_dr,10.0,12.031476929212213,11.599205025937403,5-15
test,S-A5,constant_velocity_dr,10.0,12.484741843420059,-12.33464593128781,5-15
test,S-A5,constant_velocity_dr,10.0,6.83646376505126,6.042388913337996,5-15
