role,session,predictor,duration_s,crse_m,final_pos_err_m,aeps_m,true_distance_m
test,S-A5,ins_dr,10.0,5.62040064937715,5.62040064937715,1.648477211025125,121.89702809397717
test,S-A5,ins_dr,10.0,10.553509916989883,10.553509916989883,1.4921911625776243,82.39332188003011
test,S-A5,ins_dr,10.0,4.742156840126329,4.742156840126329,0.4945612224987343,67.4181972828834
test,S-A5,ins_dr,10.0,9.252172857853353,9.252172857853353,1.2740880913008639,58.54462914708684
test,S-A5,ins_dr,10.0,12.30760730519927,12.30760730519927,1.364752547551761,60.3897252462158
test,S-A5,ins_dr,10.0,4.66897868471283,4.66897868471283,0.645124597550631,47.5853265988563
test,S-A5,ins_dr,10.0,19.648915359853103,19.648915359853103,2.09482473694455,33.429411146286796
test,S-A5,ins_dr,10.0,6.281995426419291,6.281995426419291,1.0307155325317212,45.72153433382135
test,S-A5,ins_dr,10.0,7.551239064605633,7.551239064605633,0.8408805855337272,47.250330322520334
test,S-A5,ins_dr,10.0,4.511938041508995,4.511938041508995,0.5608251774847498,75.57407618644191
test,S-A5,ins_dr,10.0,3.9546703287992204,3.9546703287992204,0.5267626812001255,62.83656609714886
test,S-A5,ins_dr,10.0,21.91729931344317,21.91729931344317,2.176484890863005,29.2469555637324
test,S-A5,ins_dr,10.0,7.685101490285665,7.685101490285665,0.7738586677953967,65.55947523555065
test,S-A5,ins_dr,10.0,19.75109661183392,19.75109661183392,2.3270512667609133,81.91804865719882
test,S-A5,ins_dr,10.0,21.982702319472168,21.982702319472168,2.3350719029563494,110.72690399360596
test,S-A5,ins_dr,10.0,7.433747109260151,7.433747109260151,1.3811977583014303,112.00959976271771
test,S-A5,ins_dr,10.0,5.607028609018982,5.607028609018982,1.2267995900468416,90.0582450042737
test,S-A5,ins_dr,10.0,3.106826501803011,3.106826501803011,0.5844922203556814,74.15163802484435
test,S-A5,ins_dr,10.0,6.117614274586528,6.117614274586528,0.7471083160087656,56.41681029031501
test,S-A5,ins_dr,10.0,16.87608705412193,16.87608705412193,1.83457814072939,67.37500166552194
test,S-A5,ins_dr,10.0,4.016853134901414,4.016853134901414,0.48618692623288745,65.56031434009266
test,S-A5,ins_dr,10.0,3.227205013104013,3.227205013104013,0.4807211890369092,55.442283424685215
test,S-A5,ins_dr,10.0,6.266152943153694,6.266152943153694,0.9423883932586495,57.7425698430859
test,S-A5,ins_dr,10.0,8.261976627824096,8.261976627824096,1.2092047910266406,84.07440225457222
test,S-A5,ins_dr,10.0,23.960131781729164,23.960131781729164,2.3950511173414215,104.41152789291374
test,S-A5,ins_dr,10.0,20.087648901725487,20.087648901725487,2.0053503882844805,131.72629746209418
test,S-A5,ins_dr,10.0,3.6466838201849763,3.6466838201849763,0.9068313689799983,134.68442711172725
test,S-A5,ins_dr,10.0,11.53176588690303,11.53176588690303,1.4268123857142325,132.22133806233504
test,S-A5,ins_dr,10.0,11.713979919678446,11.713979919678446,1.1633464267786038,121.38923935644334
test,S-A5,ins_dr,10.0,4.045298453341478,4.045298453341478,0.7887201040343574,115.99531412433866
